B45-1,3279734.102,352623.984,52.566,ZJ,0.36
B45-2,3279732.804,352629.786,52.044,XX,0.36
B45-3,3279720.439,352685.0465,52.35,XX,0.36
B45-4,3279709.985,352731.7644,52.411,XX,0.36
B45-5,3279702.846,352763.6696,52.397,XX,0.36
B45-6,3279688.462,352827.9513,52.033,XX,0.36
B45-7,3279674.239,352891.5165,52.607,XX,0.36
B45-8,3279673.725,352893.8131,53.647,XX,0.36
B45-9,3279673.423,352895.1658,53.847,ZDD,0.36
B45-17,3279672.714,352898.3337,50.899,ZDJ,0.36
B45-16,3279670.169,352909.7077,50.017,ZSB,0.36
B45-15,3279669.827,352911.2358,49.755,SD,0.36
B45-14,3279669.186,352914.1006,49.568,SD,0.36
B45-13,3279668.763,352915.9913,49.699,SD,0.36
B45-11,3279668.472,352917.2923,49.774,YDJ,0.36
B45-12,3279668.289,352918.1063,50.125,YSB,0.36
B45-10,3279667.617,352921.1123,53.971,YDD,0.36
B45-18,3279665.087,352932.4163,53.463,XX,0.36
B45-19,3279661.764,352947.2697,51.437,XX,0.36
B45-20,3279657.293,352967.2503,51.072,XX,0.36
B45-21,3279650.36,352998.2337,50.88,XX,0.36
B45-22,3279639.711,353045.8244,50.636,XX,0.36
B45-23,3279632.559,353077.7894,50.87,XX,0.36
B45-24,3279631.117,353084.2332,51.618,XX,0.36
B45-25,3279629.817,353090.043,52.993,YJ,0.36
