3,3279798.007,361292.569,27.58,ZJ,0.035
2,3279794.828,361291.7337,26.991,XX,0.035
1,3279791.786,361290.9343,26.095,ZDD,0.035
4,3279763.597,361283.5267,20.16,ZDJ,0.035
5,3279761.78,361283.0492,19.629,ZSB,0.035
6,3279759.663,361282.4927,19.2,SD,0.035
7,3279754.76,361281.2045,19.232,SD0,0.035
8,3279749.273,361279.7626,18.957,SD1,0.035
9,3279746.253,361278.9688,19.244,SD2,0.035
10,3279741.939,361277.8354,19.366,SD3,0.035
11,3279738.437,361276.9149,19.627,YSB,0.035
13,3279733.688,361275.6669,19.778,XX,0.035
12,3279729.637,361274.6026,20.125,YDJ,0.035
14,3279714.399,361270.5983,25.077,YDD,0.035
15,3279693.546,361265.1183,26.573,XX,0.035
16,3279672.738,361259.6504,25.994,ZZS,0.035
17,3279657.965,361255.7684,26.819,LSH,0.035
18,3279634.375,361249.5693,27.379,XX,0.035
19,3279609.443,361243.0176,26.957,XX0,0.035
20,3279569.484,361232.517,27.367,YJ,0.035
