ZD701,3279900.331,353545.247,50.943,
1,3280076.278,353269.203,45.058,45.746
2,3280074.4,353348.655,45.038,
3,3280085.105,353420.506,45,
4,3280054.075,353487.735,44.945,
5,3280010.629,353544.393,44.938,
6,3279954.611,353593.222,44.898,
7,3279950.434,353597.114,44.93,
8,3279949.651,353610.924,44.822,
9,3279936.649,353614.775,44.848,
10,3279925.679,353618.936,44.702,
11,3279911.449,353631.217,44.677,
12,3279897.968,353644.242,44.659,
13,3279884.517,353657.11,44.637,
14,3279867.618,353655.308,44.883,
15,3279866.312,353668.609,44.558,
16,3279864.454,353679.239,44.545,
17,3279859.83,353713.327,44.517,
18,3279873.102,353732.091,44.471,
19,3279869.366,353756.413,44.452,
20,3279867.795,353781.466,44.438,
21,3279881.338,353859.065,44.425,45.597
