20,3280664.59,360644.485,29.766,ZJ,0.034
19,3280660.525,360640.5816,29.368,ZDD,0.034
18,3280655.168,360635.4382,24.915,ZDJ,0.034
17,3280651.852,360632.254,24.46,XX5,0.034
16,3280643.101,360623.8512,24.196,XX4,0.034
15,3280634.791,360615.8722,23.849,XX3,0.034
14,3280628.931,360610.2458,23.505,XX2,0.034
13,3280626.111,360607.5377,22.994,XX1,0.034
12,3280620.089,360601.755,22.784,XX0,0.034
11,3280613.858,360595.7728,22.534,XX,0.034
10,3280612.41,360594.3822,22.401,ZSB,0.034
9,3280611.251,360593.269,22.164,SD3,0.034
8,3280608.133,360590.2755,21.866,SD2,0.034
7,3280603.499,360585.8258,21.632,SD1,0.034
6,3280600.088,360582.5507,21.513,SD0,0.034
5,3280598.497,360581.0226,21.915,SD,0.034
4,3280597.902,360580.4513,22.404,YSB,0.034
3,3280597.499,360580.0642,22.615,YDJ,0.034
1,3280590.545,360573.387,28.079,YDD,0.034
2,3280584.802,360567.873,28.971,YJ,0.034
