Q27,Zj,3279576,361145.525,28.145
Q27,Xx1,3279564.134,361153.885,27.339
Q27,Xx2,3279542.413,361170.287,26.876
Q27,Dd,3279525.733,361185.631,26.5
Q27,Dj,3279523.749,361191.261,24.055
Q27,Dj,3279505.662,361199.914,25.249
Q27,Dd,3279503.757,361201.047,26.298
Q27,Xx1,3279495.746,361205.022,26.671
Q27,Xx2,3279442.68,361253.115,26.504
Q27,Xx3,3279409.741,361276.232,27.426
Q27,Yj,3279342.446,361325.084,28.43
Q27,Sb,3279523.428,361191.371,23.611
Q27,Sb,3279507.778,361197.646,23.611
Q27,Sd1,3279514.701,361190.45,22.778
Q27,Sd2,3279511.961,361192.667,22.923
Q27,Sd3,3279509.014,361194.922,23.097
