B33-1,3276206.559,363803.872,21.884,ZJ
B33-2,3276205.599,363804.1981,21.134,XX
B33-3,3276202.994,363805.0832,21.081,ZDD
B33-4,3276196.407,363807.321,17.817,ZDJ
B33-5,3276186.072,363810.8319,17.536,XX
B33-6,3276179.059,363813.2142,15.532,XX
B33-7,3276175.162,363814.5381,15.424,ZSB
B33-8,3276174.69,363814.6986,15.062,SD
B33-9,3276170.206,363816.2218,15.008,SD
B33-10,3276159.52,363819.8521,15.095,SD
B33-11,3276144.284,363825.0283,15.433,YSB
B33-15,3276124.113,363831.8807,16.455,YDJ
B33-14,3276118.888,363833.6557,19.873,YDD
B33-13,3276109.469,363836.8556,20.522,XX
B33-12,3276107.734,363837.445,20.996,YJ
