B301,3277776.35,369142.764,39.076,zj
B301,3277726.745,369124.069,38.461,xx
B301,3277711.007,369114.365,37.982,xx0
B301,3277682.742,369106.331,37.77,xx1
B301,3277659.972,369091.716,37.874,xx2
B301,3277646.62,369082.18,38.117,xx3
B301,3277644.208,369080.207,38.282,ydd
B301,3277619.492,369061.584,38.224,×óµÌ¶¥
B301,3277615.17,369057.811,38.265,xx
B301,3277613.95,369056.559,37.592,xx0
B301,3277599.81,369044.487,37.1,xx1
B301,3277590.653,369042.289,38.475,zj
B301,3277641.481,369070.833,34.203,dj
B301,3277639.525,369069.957,33.6,sd
B301,3277629.778,369063.849,33.796,sd0
B301,3277628.521,369063.168,34.23,dj
B301,3277634.44,369062.062,33.465,sd
