ZD800,3279823.288,361252.863,28.303,
Z4-1,3279233.833,361092.75,24.835,0.72
Z4-2,3279245.761,361123.971,24.331,0.7
Z4-3,3279261.432,361126.77,23.955,0.7
Z4-4,3279287.601,361118.061,23.501,0.4
Z4-5,3279299.086,361119.44,23.246,0.5
Z4-6,3279313.348,361124.322,22.929,0.5
Z4-7,3279329.517,361153.976,22.358,0.7
Z4-8,3279331.548,361154.856,21.408,0.7
Z4-9,3279388.518,361158.876,20.222,0.3
Z4-10,3279449.224,361174.033,20.196,0.3
Z4-11,3279462.896,361182.356,20.17,0.3
Z4-12,3279471.918,361187.676,20.144,0.3
Z4-13,3279522.482,361192.225,20.118,0.5
Z4-14,3279549.709,361212.97,20.092,0.7
Z4-15,3279533.934,361280.499,20.066,0.5
Z4-16,3279513.917,361342.235,20.04,0.3
Z4-17,3279508.168,361428.031,20.014,0.2
Z4-18,3279504.266,361439.8,19.988,0.2
Z4-19,3279493.864,361471.323,19.962,0.2
Z4-20,3279497.99,361511.403,19.936,0.2
Z4-21,3279500.738,361553.791,19.91,0.2
Z4-22,3279497.588,361592.209,19.895,0.2
Z4-23,3279492.025,361616.971,19.903,0.2
Z4-24,3279488.934,361630.481,19.683,0.2
Z4-25,3279484.237,361639.389,19.598,0.2
Z4-27,3279480.193,361657.301,19.551,0.2
Z4-28,3279478.175,361668.681,19.51,0.2
Z4-31,3279465.213,361700.635,19.444,0.2
Z4-32,3279464.915,361708.522,19.357,0.2
Z4-33,3279466.91,361713.062,19.309,0.2
Z4-35,3279471.112,361738.528,19.281,0.2
