Q28,Zj,3279572.029,361135.148,28.365
Q28,Xx1,3279553.151,361149.524,27.236
Q28,Xx2,3279539.781,361160.354,27.093
Q28,Dd,3279511.441,361183.306,25.809
Q28,Dj,3279510.599,361183.926,23.187
Q28,Dj,3279498.576,361190.353,24.273
Q28,Dd,3279497.156,361193.436,26.029
Q28,Xx1,3279487.466,361200.537,26.619
Q28,Xx2,3279461.083,361219.198,26.932
Q28,Xx3,3279405.187,361264.821,27.897
Q28,Yj,3279337.868,361313.12,28.678
Q28,Sb,3279508.295,361183.134,23.656
Q28,Sb,3279498.963,361190.27,23.657
Q28,Sd1,3279502.977,361189.922,22.851
Q28,Sd2,3279505.101,361188.243,22.369
Q28,Sd3,3279507.805,361186.077,22.833
