1,3281486.83,359791.842,28.102,Zsb
2,3281487.315,359790.447,27.941,Sd
3,3281488.124,359787.998,27.826,Sd0
4,3281488.397,359787.114,27.845,Sd1
5,3281488.498,359786.248,27.887,Sd2
6,3281489.053,359784.05,28.004,Sd3
7,3281490.056,359781.913,27.967,Sd4
8,3281490.235,359780.826,27.829,Sd5
9,3281490.917,359779.235,27.951,Sd6
10,3281491.162,359778.179,28.087,Ysb
11,3281491.335,359777.776,28.245,Ydj
12,3281491.406,359777.23,29.394,Xx
13,3281486.917,359793.924,28.368,ZDJ
14,3281486.818,359794.518,29.292,Xx0
15,3281486.809,359796.345,29.456,Xx1
16,3281486.352,359798.273,30.245,Xx2
17,3281484.58,359803.65,30.505,Xx3
18,3281483.757,359805.619,31.668,Zdd
19,3281479.265,359818.399,31.806,Xx
20,3281479.163,359819.069,32.968,Zj
21,3281496.096,359753.99,32.945,Yj
22,3281496.161,359754.344,31.901,Xx
23,3281494.116,359762.477,31.839,YDD
24,3281493.217,359767.213,29.793,Xx1
