KZD,3279823.279,361252.637,28.347,
1,3281845.197,359822.915,29.679,29.917
2,3281837.094,359830.442,29.507,
3,3281818.344,359844.705,29.703,
4,3281808.486,359853.477,29.568,
5,3281794.754,359863.028,29.412,
6,3281788.284,359866.394,29.434,
7,3281767.483,359873.571,29.454,
8,3281759.504,359882.547,29.409,
9,3281751.684,359892.001,29.294,
10,3281739.476,359906.906,29.195,
11,3281731.745,359915.194,15.156,
12,3281723.246,359922.087,28.913,
13,3281713.891,359926.537,29.239,
14,3281706.818,359930.093,29.165,
15,3281697.29,359926.766,28.873,
16,3281678.065,359922.932,28.794,
17,3281657.055,359913.148,28.925,
18,3281648.892,359908.157,28.955,
19,3281636.46,359897.276,28.658,
20,3281628.573,359890.019,28.571,
21,3281623.751,359875.549,28.382,
22,3281619.538,359862.511,28.482,
23,3281618.528,359846.298,28.449,
24,3281616.901,359841.228,28.326,
25,3281612.777,359826.927,28.107,
26,3281604.845,359813.389,28.175,
27,3281599.705,359804.562,28.471,
28,3281595.856,359799.81,28.328,
29,3281583.387,359787.803,28.216,
30,3281573.699,359780.403,28.123,
31,3281566.676,359781.338,28.099,
32,3281547.314,359773.834,28.098,28.295
33,3281533.786,359769.144,27.984,
34,3281527.563,359770.575,27.918,
35,3281516.109,359775.387,27.979,
36,3281496.676,359780.827,27.821,
37,3281472.971,359790.925,27.767,
38,3281459.338,359795.977,27.716,28.042
39,3281440.727,359814.855,27.538,
40,3281426.523,359826.533,27.512,
41,3281422.469,359829.428,27.365,
42,3281410.4,359850.774,27.555,
43,3281393.487,359867.488,27.413,
44,3281382.885,359878.826,27.356,
45,3281372.766,359892.811,27.25,
46,3281344.11,359954.887,27.083,28.021
