18,3280470.409,358388.539,35.267,ZJ,0.038
17,3280468.443,358389.3738,35.134,ZDD,0.038
1,3280464.658,358390.9815,33.094,ZDJ,0.038
2,3280464.321,358391.1245,33.014,ZSB,0.038
3,3280463.459,358391.4906,32.676,SD,0.038
4,3280460.016,358392.9529,32.488,SD0,0.038
5,3280453.405,358395.7606,32.389,SD1,0.038
6,3280444.17,358399.6825,32.329,SD2,0.038
7,3280436.267,358403.0388,32.327,SD3,0.038
8,3280426.098,358407.3576,32.08,SD4,0.038
9,3280411.777,358413.4395,32.536,SD5,0.038
10,3280398.841,358418.9334,32.437,SD6,0.038
11,3280389.367,358422.9572,32.705,SD7,0.038
12,3280381.354,358426.3604,32.961,SD8,0.038
13,3280377.362,358428.0554,33.013,YSB,0.038
14,3280376.351,358428.4847,33.155,YDJ,0.038
15,3280375.09,358429.0204,33.942,YDD,0.038
16,3280374.168,358429.412,34.326,YJ,0.038
