1,3281080.861,365914.081,16.779,YJ
2,3281083.162,365912.671,15.292,”“µÃ∂•
3,3281091.254,365910.226,11.654,KX
4,3281099.923,365906.11,11.789,XX1
5,3281102.753,365898.191,11.701,XX2
6,3281111.507,365889.68,11.728,XX3
7,3281114.425,365887.15,10.634,YSB
8,3281114.632,365886.111,10.311,SD1
9,3281116.748,365884.657,10.108,SD2
10,3281155.268,365836.797,17.155,ZJ
11,3281154.491,365838.157,15.301,XX
12,3281152.274,365838.793,15.005,ZDD
13,3281143.412,365840.052,11.51,ZDJ
14,3281134.362,365854.313,10.628,ZSB
15,3281130.626,365855.504,10.528,SD
16,3281126.337,365856.416,10.539,SD
17,3281120.373,365857.126,10.26,SD
18,3281118.192,365858.047,9.846,SD
