Kzd1,3278674.153,367895.279,24.36,,控制点1
1,3277542.183,369294.061,37.178,37.178,河心1
2,3277558.527,369253.615,36.669,36.669,河心2
3,3277583.346,369180.854,36.348,36.348,河心3
4,3277606.615,369116.985,36.062,36.062,河心4
5,3277629.695,369082.885,35.765,35.765,河心5
6,3277630.691,369079.022,35.528,35.528,河心6
7,3277631.054,369078.379,34.999,34.999,河心7
8,3277631.32,369077.81,35.066,35.066,河心8
9,3277631.008,369076.964,34.55,34.55,河心9
10,3277630.979,369070.018,34.278,34.278,河心10
11,3277630.993,369069.773,34.747,34.747,河心11
12,3277631.093,369069.649,34.839,34.839,河心12
13,3277632.828,369059.127,33.331,33.331,河心13
14,3277671.21,368985.338,32.32,32.32,河心14
15,3277719.582,368896.733,31.479,31.479,河心15
16,3277726.203,368886.461,31.725,31.725,河心16
17,3277727.1,368885.621,32.142,32.142,河心17
18,3277728.737,368883.267,32.058,32.058,河心18
19,3277729.797,368881.958,31.11,31.11,河心19
20,3277732.77,368878.255,31.148,31.148,河心20
21,3277732.925,368878.133,31.4,31.4,河心21
22,3277773.45,368840.033,31.084,31.084,河心22
23,3277827.634,368809.274,30.733,30.733,河心23
24,3277903.35,368761.657,29.964,29.964,河心24
25,3277905.087,368760.413,29.516,29.516,河心25
26,3277924.569,368753.499,29.419,29.419,河心26
27,3278003.165,368702.638,28.997,28.997,河心27
28,3278078.67,368659.527,28.464,28.464,河心28
29,3278124.28,368628.176,28.437,28.437,河心29
30,3278136.607,368618.908,28.366,28.366,河心30
31,3278149.165,368600.259,28.182,28.182,河心31
32,3278160.882,368583.42,27.822,27.822,河心32
33,3278178.107,368518.655,27.485,27.485,河心33
34,3278213.771,368412.83,25.832,25.832,河心34
35,3278266.555,368347.168,24.758,24.758,河心35
