1,3281709.928,359920.642,32.285,Ydd
2,3281709.756,359920.251,32.447,Xx
3,3281707.556,359914.123,32.423,Xx0
4,3281703.67,359906.065,32.376,Xx1
5,3281703.531,359905.703,32.887,Yj
6,3281714.345,359929.448,29.25,Zsb
7,3281714.581,359929.804,29.357,Zdj
8,3281715.732,359932.722,29.966,Xx
9,3281714.262,359928.797,29.175,Sd
10,3281713.617,359927.854,29.195,Sd0
11,3281713.34,359927.158,29.136,Sd1
12,3281713.048,359926.454,29.209,Sd2
13,3281712.851,359926.148,29.255,Ysb
14,3281712.361,359924.878,29.397,Ydj
15,3281710.475,359921.076,30.287,Xx
16,3281728.975,359976.636,32.807,Zj
17,3281729.047,359975.018,31.668,Xx
18,3281725.468,359967.32,31.722,Xx0
19,3281719.596,359950.935,32.017,Xx
20,3281715.228,359933.892,32.212,Zdd
