ZD104,3280200.478,356825.791,40.935,,¿ØÖÆµã
1,3280273.045,356419.267,35.048,35.485,
2,3280275.331,356468.574,34.983,,
3,3280245.658,356554.629,34.892,,
4,3280225.279,356631.379,34.446,,
5,3280196.442,356724.488,34.155,,
6,3280170.293,356816.619,34.123,,
7,3280162.964,356842.67,33.721,,
8,3280144.262,356897.184,33.746,,
9,3280150.775,356952.401,33.744,,
10,3280163.785,357005.543,33.725,,
11,3280173.452,357053.514,33.726,,
12,3280182.799,357108.839,33.715,,
13,3280188.369,357169.953,33.595,,
14,3280200.134,357219.55,33.469,,
15,3280217.869,357268.054,33.355,,
16,3280244.015,357325.395,32.874,33.194,
