5,3280255.669,356631.194,41.533,ZJ,0.036
4,3280253.415,356630.4302,38.58,ZDD,0.036
3,3280249.103,356628.9692,35.142,ZDJ,0.036
2,3280240.97,356626.2138,35.429,XX,0.036
1,3280238.515,356625.3819,34.818,ZSB,0.036
6,3280236.529,356624.7091,34.473,SD,0.036
7,3280233.182,356623.5751,34.387,SD0,0.036
8,3280229.366,356622.2822,34.578,SD1,0.036
9,3280224.698,356620.7004,34.592,SD2,0.036
10,3280220.516,356619.2834,34.585,SD3,0.036
11,3280218.143,356618.4796,34.813,YSB,0.036
12,3280213.418,356616.8785,35.108,YDJ,0.036
13,3280205.709,356614.2666,38.131,YDD,0.036
14,3280194.665,356610.5245,39.459,XX,0.036
15,3280187.007,356607.93,41.066,YJ,0.036
