12,3279150.459,360904.153,29.904,ZJ,0.035
11,3279148.933,360903.6626,29.605,ZDD,0.035
10,3279146.466,360902.8697,28.245,ZDJ,0.035
9,3279146.16,360902.7714,28.057,ZSB,0.035
8,3279146.11,360902.7555,27.112,SD2,0.035
7,3279145.098,360902.4301,27.105,SD1,0.035
6,3279144.335,360902.1849,27.475,SD0,0.035
5,3279143.568,360901.9385,27.788,SD,0.035
4,3279143.043,360901.7696,28.061,YSB,0.035
3,3279142.731,360901.6695,28.106,YDJ,0.035
1,3279134.541,360899.0374,29.982,YDD,0.035
2,3279133.528,360898.712,30.224,YJ,0.035
