1,3281476.352,359780.34,29.123,Xx0
2,3281476.532,359780.847,28.344,Xx1
3,3281476.515,359781.719,28.064,Ydj
4,3281476.286,359782.245,27.962,Ysb
5,3281476.1,359783.054,27.844,Sd
6,3281476.061,359783.614,27.709,Sd0
7,3281475.663,359785.445,27.81,Sd1
8,3281475.54,359785.898,27.854,Sd2
9,3281474.765,359790.113,27.83,Sd3
10,3281474.435,359791.393,27.786,Sd4
11,3281474.177,359792.076,27.717,Sd5
12,3281473.979,359794.013,27.972,Zsb
13,3281473.642,359794.795,28.063,Zdj
14,3281472.92,359797.091,28.23,Xx
15,3281471.887,359799.687,28.132,Xx0
16,3281471.767,359800.159,28.965,Xx1
17,3281467.71,359817.624,32.715,Zj
18,3281467.802,359816.758,31.543,Xx
19,3281469.611,359810.804,31.541,Zdd
20,3281481.202,359767.378,31.691,Ydd
21,3281483.826,359753.38,31.716,Xx
22,3281484.279,359751.77,32.842,Yj
