K201-16,3276776.154,364967.45,19.619,ZJ
K201-15,3276773.529,364968.9531,18.968,ZDD
K201-14,3276765.71,364973.4301,15.184,ZDJ
K201-13,3276744.07,364985.8205,14.87,XX
K201-12,3276738.927,364988.7649,14.386,ZSB
K201-11,3276735.069,364990.9742,14.196,SD
K201-10,3276732.212,364992.6098,13.84,SD
K201-9,3276728.629,364994.6613,13.939,SD
K201-8,3276724.293,364997.144,13.736,SD
K201-7,3276721.746,364998.6022,13.787,SD
K201-6,3276719.005,365000.1721,14.173,SD
K201-5,3276718.367,365000.5371,14.392,YSB
K201-4,3276713.408,365003.3765,15.394,XX
K201-3,3276704.827,365008.2897,16.387,YDJ
K201-2,3276698.078,365012.1543,19.65,YDD
K201-1,3276697.472,365012.501,19.774,YJ
