17,3280324.804,356103.341,43.777,ZJ,0.039
16,3280319.254,356103.0848,42.609,ZDD,0.039
1,3280310.342,356102.6735,36.447,ZDJ,0.039
2,3280308.298,356102.5792,36.053,ZSB,0.039
3,3280305.129,356102.4329,35.846,SD,0.039
4,3280300.375,356102.2135,35.812,SD0,0.039
5,3280298.801,356102.1409,35.331,SD1,0.039
6,3280295.489,356101.988,35.786,SD2,0.039
7,3280292.236,356101.8379,35.887,SD3,0.039
8,3280288.448,356101.6631,36.028,SD4,0.039
9,3280282.075,356101.3689,35.951,SD5,0.039
10,3280278.429,356101.2007,35.774,SD6,0.039
11,3280274.157,356101.0035,36.056,YSB,0.039
12,3280270.489,356100.8342,36.533,XX,0.039
13,3280261.613,356100.4245,36.9,YDJ,0.039
14,3280227.721,356098.8603,40.959,YDD,0.039
15,3280223.944,356098.686,41.894,YJ,0.039
