K001,3277369.496,369642.545,43.835,ZJ
K001,3277371.272,369643.5866,43.478,ZDD
K001,3277375.558,369646.1004,41.29,ZDJ
K001,3277377.377,369647.1673,41.23,SD
K001,3277378.94,369648.0841,41.28,SD0
K001,3277380.531,369649.0172,40.967,SD1
K001,3277382.719,369650.3005,41.018,SD2
K001,3277384.958,369651.6137,41.008,SD3
K001,3277387.622,369653.1762,41.231,SD4
K001,3277390.672,369654.9651,40.949,SD5
K001,3277393.508,369656.6284,40.99,SD6
K001,3277395.385,369657.7293,40.958,YDJ
K001,3277400.789,369660.8988,43.398,YDD
K001,3277403.594,369662.544,44.087,YJ
