B19,3280346.33,355425.758,46.266,Zj
B19,3280336.283,355425.579,45.338,Xx1
B19,3280333.091,355425.5221,44.588,Dd
B19,3280320.701,355425.3013,39.08,Dj
B19,3280316.598,355425.2282,38.363,Sb
B19,3280313.892,355425.1799,38.036,Sd1
B19,3280311.482,355425.137,38.022,Sd2
B19,3280309.151,355425.0955,38.009,Sd3
B19,3280300.893,355424.9483,38.362,Sb
B19,3280294.122,355424.8276,39.214,Xx1
B19,3280288.447,355424.7265,38.757,Xx2
B19,3280284.201,355424.6509,38.897,Xx3
B19,3280279.366,355424.5647,39.292,Xx4
B19,3280276.709,355424.5173,40.021,Xx5
B19,3280273.945,355424.4681,39.996,Dj
B19,3280250.257,355424.046,43.603,Dd
B19,3280246.051,355423.971,45.827,Yj
