B44,3279840.539,352863.72,52.209,ZJ,0.042
B44,3279841.762,352867.326,51.488,XX1,0.042
B44,3279843.05,352872.305,51.328,×óµÌ¶¥,0.042
B44,3279843.146,352877.729,50.791,XX1,0.042
B44,3279846.517,352888.726,48.7,KX,0.042
B44,3279846.402,352889.42,48.599,ZSB,0.042
B44,3279846.479,352889.878,48.528,SD1,0.042
B44,3279846.667,352891.833,48.371,SD2,0.042
B44,3279847.148,352894.481,48.485,SD3,0.042
B44,3279847.55,352895.865,48.585,YSB,0.042
B44,3279846.505,352898.088,49.065,KX,0.042
B44,3279848.252,352904.828,49.381,XX1,0.042
B44,3279852.877,352910.008,48.853,XX2,0.042
B44,3279851.642,352912.069,51.74,ÓÒµÌ¶¥,0.042
B44,3279852.412,352913.904,52.06,YJ,0.042
