ZD334,3276227.75,364172.323,20.288,
Z11-1,3276132.596,363710.384,15.384,0.4
Z11-2,3276151.863,363762.838,15.314,0.3
Z11-3,3276176.633,363827.416,15.249,0.6
Z11-4,3276191.213,363904.38,15.249,0.25
Z11-5,3276208.745,363956.539,15.223,0.1
Z11-6,3276230.08,364026.743,15.124,0.1
Z11-7,3276252.66,364081.794,15.066,0.1
Z11-8,3276263.334,364141.653,14.983,0.1
Z11-9,3276283.566,364188.329,14.805,0.1
Z11-10,3276289.351,364212.17,14.606,0.7
Z11-11,3276304.745,364268.076,14.513,0.5
Z11-12,3276323.981,364327.461,14.312,0.5
Z11-13,3276341.066,364382.392,14.271,0.3
Z11-14,3276364.252,364430.146,14.256,0.45
Z11-15,3276397.742,364480.428,14.177,0.4
Z11-16,3276436.754,364542.332,14.123,0.2
Z11-17,3276457.2,364586.247,14.093,0.3
