11,3280052.615,352897.023,51.236,ZJ
10,3280050.803,352896.986,48.273,ZDD
9,3280049.748,352896.9644,46.265,ZDJ
8,3280048.909,352896.9473,46.142,ZSB
7,3280047.038,352896.9091,45.479,SD4
6,3280044.637,352896.8601,45.447,SD3
5,3280040.945,352896.7847,45.619,SD2
4,3280037.338,352896.711,45.823,SD1
3,3280034.08,352896.6445,45.996,SD0
2,3280031.278,352896.5873,46.011,SD
1,3280028.99,352896.5406,46.139,YSB
12,3280026.394,352896.4876,46.335,XX
13,3280019.863,352896.3542,46.536,XX0
14,3280009.921,352896.1512,46.611,YDJ
15,3280003.055,352896.011,49.031,YDD
16,3279999.332,352895.935,50.702,YJ
