22,3280980.424,360311.988,29.924,ZJ,0.039
21,3280975.003,360307.6257,27.201,XX,0.039
20,3280971.018,360304.4182,27.192,ZDD,0.039
14,3280936.95,360277.0016,26.017,ZDJ,0.039
13,3280931.797,360272.8547,24.983,XX0,0.039
12,3280922.764,360265.585,24.199,XX,0.039
11,3280917.88,360261.6549,23.685,ZSB,0.039
10,3280915.798,360259.9792,23.522,SD5,0.039
9,3280913.12,360257.8243,23.454,SD4,0.039
8,3280910.351,360255.5952,23.265,SD3,0.039
7,3280906.057,360252.1401,23.278,SD2,0.039
6,3280902.031,360248.9001,23.461,SD1,0.039
5,3280899.001,360246.4611,23.222,SD0,0.039
4,3280895.791,360243.8778,23.334,SD,0.039
3,3280894.565,360242.8917,23.688,YSB,0.039
2,3280891.762,360240.6353,24.312,XX,0.039
1,3280886.181,360236.1445,24.513,YDJ,0.039
15,3280881.469,360232.3523,27.449,YDD,0.039
16,3280870.57,360223.581,27.161,XX,0.039
17,3280845.298,360203.2433,27.354,XX0,0.039
18,3280840.92,360199.7199,28.103,XX1,0.039
19,3280836.339,360196.033,28.976,YJ,0.039
