1,3276109.539,363510.606,21.623,ZJ
2,3276108.662,363510.692,21.577,×óµÌ¶¥
3,3276101.662,363513.385,18.394,KX
4,3276090.533,363510.482,18.441,XX1
5,3276084.572,363512.608,16.754,XX2
6,3276075.397,363514.268,15.891,XX3
7,3276070.723,363516.395,15.093,SD1
8,3276069.887,363517.16,14.843,SD2
9,3276060.402,363521.39,14.72,
10,3276055.47,363523.409,14.86,SD4
11,3276048.739,363526.706,15.08,SD5
12,3276036.628,363532.147,16.67,XX1
13,3276023.747,363539.789,18.42,KX
14,3276018.36,363542.582,21.73,ÓÒµÌ¶¥
15,3276011.912,363547.053,21.781,YJ
