15,3281360.672,366159.238,16.103,Zj
14,3281360.498,366157.3255,15.141,Xx
13,3281349.898,366040.486,15.669,Xx
12,3281346.398,366001.9126,16.086,Xx
11,3281345.778,365995.0761,15.801,Zdd
10,3281345.23,365989.0396,10.868,Zdj
9,3281345.185,365988.5344,10.612,Zsb
8,3281345.121,365987.8331,9.953,Sd
7,3281344.902,365985.4206,9.941,Sd
6,3281344.848,365984.8219,10.215,Sd
5,3281344.82,365984.513,10.633,Ysb
4,3281344.799,365984.2877,11.049,Ydj
3,3281344.489,365980.8682,15.242,Ydd
2,3281332.502,365848.7421,15.559,Xx
1,3281332.435,365848.009,19.02,Yj
