ZD616,3279974.046,353614.195,50.263,
Z7-15,3280323.062,354717.167,38.923,39.813
Z7-14,3280331.347,354759.048,39.31,
Z7-13,3280339.905,354813.906,39.315,
Z7-12,3280344.815,354857.714,39.076,
Z7-11,3280328.261,354898.198,39.16,
Z7-10,3280324.504,354949.329,39.296,
Z7-09,3280319.382,354997.285,38.987,
Z7-08,3280319.445,355055.723,39.198,
Z7-07,3280320.477,355079.651,39.183,
Z7-06,3280315.488,355108.78,39.094,
Z7-05,3280303.606,355162.983,39.043,
Z7-04,3280294.938,355213.726,38.7,
Z7-03,3280292.735,355268.051,38.623,
Z7-02,3280298.147,355321.109,38.604,
Z7-01,3280308.963,355366.578,38.136,38.423
Z7-1,3280309.976,355376.4,37.901,
Z7-2,3280310.831,355396.306,37.908,
Z7-3,3280310.082,355411.96,37.978,
Z7-4,3280309.951,355428.314,38.01,
Z7-5,3280310.533,355438.441,37.939,
Z7-6,3280310.238,355447.588,37.871,
Z7-7,3280301.845,355480.741,37.941,
Z7-8,3280297.145,355543.269,38.158,
Z7-9,3280298.135,355543.216,38.126,
Z7-10,3280295.432,355599.308,38.025,
Z7-11,3280291.614,355665.921,38.224,
Z7-12,3280300.6,355736.03,37.872,37.992
